

"President and Vice President of the United States - Vote For One - ",,
"","Michael S. Dukakis/Lloyd Bentsen (Democratic)","George Bush/J. Danforth Quayle (Republican) Winner","Ronald E. Paul/Andre Marrou (Libertarian)","Lenora B. Fulani/Joyce Dattner (Other)","Kyle McDaniel Jr. (Other)",,
"Allegany","11844","17462","158","39","0",,
"Anne Arundel","55440","98540","814","307","0",,
"Baltimore City","170813","59089","963","1479","23",,
"Baltimore ","121570","163881","1332","512","0",,
"Calvert","6376","10956","38","27","0",,
"Caroline","2440","4661","14","8","0",,
"Carroll","12368","31224","121","33","1",,
"Cecil","7807","13224","106","18","0",,
"Charles","11823","20828","61","52","0",,
"Dorchester","3709","6343","63","25","0",,
"Frederick","17061","32575","183","48","0",,
"Garrett","2557","6665","48","12","0",,
"Harford","19803","38493","175","95","0",,
"Howard","34007","44153","217","153","0",,
"Kent","2925","3761","28","18","0",,
"Montgomery","165187","154191","891","627","0",,
"Prince George`s","133816","86545","1000","1520","0",,
"Queen Anne`s","3857","7803","39","4","0",,
"St. Mary`s","7434","12767","58","8","0",,
"Somerset","2911","4222","24","31","0",,
"Talbot","3948","8170","56","25","0",,
"Washington","14408","25912","274","44","0",,
"Wicomico","9413","16272","55","15","0",,
"Worcester","4787","8430","30","15","0",,


"U.S. Senator - Vote For One - ",,
"","Paul S. Sarbanes (Democratic) Winner","Alan L. Keyes (Republican)","Rashaad  Ali (Other)","Imad A. Ahmad (Other)",,
"Allegany","14991","10254","0","0",,
"Anne Arundel","77647","65053","2","7",,
"Baltimore City","175059","44231","6","22",,
"Baltimore ","157701","111251","1","15",,
"Calvert","7915","7890","0","0",,
"Caroline","3543","2841","0","0",,
"Carroll","19305","22551","1","3",,
"Cecil","10607","8022","0","7",,
"Charles","16238","12580","0","0",,
"Dorchester","4979","3881","0","0",,
"Frederick","23997","24423","0","10",,
"Garrett","3882","3669","0","0",,
"Harford","33192","27992","0","4",,
"Howard","43521","33602","2","18",,
"Kent","3488","2349","0","0",,
"Montgomery","198484","119155","0","206",,
"Prince George`s","143485","62476","1","56",,
"Queen Anne`s","5636","4996","0","0",,
"St. Mary`s","10478","7285","0","1",,
"Somerset","3200","2944","0","0",,
"Talbot","5523","5435","0","0",,
"Washington","17513","17674","0","0",,
"Wicomico","12468","11406","0","0",,
"Worcester","6314","5577","0","0",,


"Representative in Congress - Vote For One - Congressional District: 01",,
"","Roy Dyson (Democratic) Winner","Wayne T. Gilchrest (Republican)",,
"Calvert","7386","7942",,
"Caroline","2854","3550",,
"Cecil","8989","10047",,
"Charles","16314","12616",,
"Dorchester","4802","4381",,
"Harford","11357","10577",,
"Kent","1912","4214",,
"Queen Anne`s","3911","6636",,
"St. Mary`s","12170","6871",,
"Somerset","3847","2708",,
"Talbot","3659","7461",,
"Wicomico","12323","11904",,
"Worcester","6604","5681",,


"Representative in Congress - Vote For One - Congressional District: 02",,
"","Joseph Bartenfelder (Democratic)","Helen Delich Bentley (Republican) Winner",,
"Baltimore ","54365","128747",,
"Harford","8749","29209",,


"Representative in Congress - Vote For One - Congressional District: 03",,
"","Benjamin L. Cardin (Democratic) Winner","Ross Z. Pierpont (Republican)",,
"Baltimore City","67455","21077",,
"Baltimore ","44928","18435",,
"Howard","21396","10221",,


"Representative in Congress - Vote For One - Congressional District: 04",,
"","Thomas McMillen (Democratic) Winner","Bradlyn McClanahan (Republican)",,
"Anne Arundel","92948","48471",,
"Howard","7961","4334",,
"Prince George`s","27715","6883",,


"Representative in Congress - Vote For One - Congressional District: 05",,
"","Steny H. Hoyer (Democratic) Winner","John Eugene Sellner (Republican)",,
"Prince George`s","128437","34909",,


"Representative in Congress - Vote For One - Congressional District: 06",,
"","Beverly B. Byron (Democratic) Winner","Kenneth W. Halsey (Republican)",,
"Allegany","19375","5303",,
"Carroll","30492","10857",,
"Frederick","39404","9037",,
"Garrett","6026","2022",,
"Howard","19733","8418",,
"Montgomery","24446","11952",,
"Washington","27277","6939",,


"Representative in Congress - Vote For One - Congressional District: 07",,
"","Kweisi Mfume (Democratic) Winner",,
"Baltimore City","104936",,
"Baltimore ","12714",,


"Representative in Congress - Vote For One - Congressional District: 08",,
"","Peter Franchot (Democratic)","Constance A. Morella (Republican) Winner",,
"Montgomery","102478","172619",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 01",,
"","D. William Simpson (Both Parties) Winner",,
"Wicomico","12684",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 02",,
"","Elroy G. Boyer (Both Parties) Winner",,
"Kent","4426",,


"Judge of the Circuit Court - Vote For No More Than Two - Judicial Circuit: 03",,
"","Dana Mark Levitz (Both Parties) Winner","John Grason Turnbull II (Both Parties) Winner",,
"Baltimore ","86752","102637",,


