

"Governor / Lt. Governor - Vote For One - ",,
"","Parris N. Glendening/Kathleen Kennedy Townsend (Democratic) Winner","Ellen R. Sauerbrey/Richard D. Bennett (Republican)","(Write-in) Jacqueline Crabtree/Frankie Wayne Jackson (Democratic)",,
"Allegany","11333","10593","0",,
"Anne Arundel","66428","87216","362",,
"Baltimore City","125686","30140","42",,
"Baltimore ","118832","122140","51",,
"Calvert","9723","12689","5",,
"Caroline","2270","4658","1",,
"Carroll","14938","32637","15",,
"Cecil","8360","12181","21",,
"Charles","14293","17824","17",,
"Dorchester","4324","5055","1",,
"Frederick","21597","32116","3",,
"Garrett","3026","5311","0",,
"Harford","28428","44300","53",,
"Howard","44378","38855","22",,
"Kent","2937","3913","3",,
"Montgomery","171800","103995","5",,
"Prince George`s","146746","51371","18",,
"Queen Anne`s","4883","8325","16",,
"St. Mary`s","9929","11880","5",,
"Somerset","2446","3829","1",,
"Talbot","4404","7444","0",,
"Washington","13756","20856","1",,
"Wicomico","9475","12336","2",,
"Worcester","6980","8693","5",,


"Comptroller 005 - Vote For One - ",,
"","William Donald Schaefer (Democratic) Winner","Larry Mark Epstein (Republican)","(Write-in) Lih Young (Democratic)","(Write-in) Robert W. Kearns (Republican)",,
"Allegany","12352","6810","0","0",,
"Anne Arundel","85218","66638","265","1",,
"Baltimore City","128576","19090","20","4",,
"Baltimore ","158895","80371","19","1",,
"Calvert","10758","11132","6","1",,
"Caroline","1536","5258","0","8",,
"Carroll","21852","25190","0","0",,
"Cecil","10021","10150","20","2",,
"Charles","15588","15657","43","1",,
"Dorchester","3707","4619","0","1",,
"Frederick","21610","31002","1","2",,
"Garrett","3128","4839","0","0",,
"Harford","43015","29307","26","1",,
"Howard","49788","32258","5","0",,
"Kent","2928","3733","1","1",,
"Montgomery","164541","103492","342","4",,
"Prince George`s","141545","42500","11","1",,
"Queen Anne`s","4504","8522","17","21",,
"St. Mary`s","10629","10704","6","0",,
"Somerset","2633","3398","0","0",,
"Talbot","3055","8489","6","15",,
"Washington","11611","22021","2","0",,
"Wicomico","8318","12927","1","1",,
"Worcester","8245","7184","0","0",,


"Attorney General - Vote For One - ",,
"","J. Joseph Curran Jr. (Democratic) Winner","Paul H. Rappaport (Republican)",,
"Allegany","8866","7066",,
"Anne Arundel","81868","66961",,
"Baltimore City","130334","15767",,
"Baltimore ","156484","79855",,
"Calvert","10758","10121",,
"Caroline","3260","3308",,
"Carroll","19945","25901",,
"Cecil","10151","9417",,
"Charles","15916","14279",,
"Dorchester","4828","3023",,
"Frederick","23022","27631",,
"Garrett","2637","4794",,
"Harford","39668","31052",,
"Howard","42362","38898",,
"Kent","3812","2498",,
"Montgomery","167985","95501",,
"Prince George`s","140892","38296",,
"Queen Anne`s","6420","6303",,
"St. Mary`s","11132","9207",,
"Somerset","2964","2624",,
"Talbot","5407","5789",,
"Washington","14224","17443",,
"Wicomico","11043","9459",,
"Worcester","8677","6237",,


"U.S. Senator - Vote For One - ",,
"","Barbara Ann Mikulski (Democratic) Winner","Ross Z. Pierpont (Republican)",,
"Allegany","13077","6344",,
"Anne Arundel","97955","54834",,
"Baltimore City","135726","15539",,
"Baltimore ","162327","77048",,
"Calvert","14057","8031",,
"Caroline","4089","2714",,
"Carroll","24200","22815",,
"Cecil","12593","7749",,
"Charles","20175","11356",,
"Dorchester","6007","2630",,
"Frederick","30235","22829",,
"Garrett","3708","4309",,
"Harford","43938","28462",,
"Howard","55493","27099",,
"Kent","4689","2027",,
"Montgomery","199461","73543",,
"Prince George`s","158184","30753",,
"Queen Anne`s","8103","5004",,
"St. Mary`s","14440","7067",,
"Somerset","4037","2063",,
"Talbot","6938","4655",,
"Washington","19228","14798",,
"Wicomico","13679","7867",,
"Worcester","10471","5101",,


"Representative in Congress - Vote For One - Congressional District: 01",,
"","Irving Pinder (Democratic)","Wayne T. Gilchrest (Republican) Winner",,
"Anne Arundel","28611","56982",,
"Baltimore City","628","707",,
"Caroline","1693","5119",,
"Cecil","5967","13860",,
"Dorchester","2693","5741",,
"Kent","1727","5039",,
"Queen Anne`s","4569","8567",,
"Somerset","1713","4324",,
"Talbot","2473","9161",,
"Wicomico","6186","15137",,
"Worcester","4190","11134",,


"Representative in Congress - Vote For One - Congressional District: 02",,
"","Kenneth T. Bosley (Democratic)","Robert L. Ehrlich Jr. (Republican) Winner","(Write-in) John J. Sweeney (Independent)",,
"Anne Arundel","5005","12071","2",,
"Baltimore ","39215","82902","7",,
"Harford","20254","50738","12",,


"Representative in Congress - Vote For One - Congressional District: 03",,
"","Benjamin L. Cardin (Democratic) Winner","Colin Felix Harby (Republican)",,
"Anne Arundel","10436","5011",,
"Baltimore City","46361","9254",,
