"Baltimore ","55275","16002",,
"Howard","25429","9400",,


"Representative in Congress - Vote For One - Congressional District: 04",,
"","Albert R. Wynn (Democratic) Winner","John B. Kimble (Republican)",,
"Montgomery","35944","11881",,
"Prince George`s","93195","9637",,


"Representative in Congress - Vote For One - Congressional District: 05",,
"","Steny Hoyer (Democratic) Winner","Robert B. Ostrom (Republican)",,
"Anne Arundel","15471","14679",,
"Calvert","13067","9040",,
"Charles","20414","11319",,
"Prince George`s","63545","24753",,
"St. Mary`s","14295","7385",,


"Representative in Congress - Vote For One - Congressional District: 06",,
"","Timothy D. McCown (Democratic)","Roscoe Bartlett (Republican) Winner",,
"Allegany","6039","11534",,
"Carroll","13489","31895",,
"Frederick","20374","32300",,
"Garrett","1865","6157",,
"Howard","19622","24964",,
"Washington","12339","20952",,


"Representative in Congress - Vote For One - Congressional District: 07",,
"","Elijah E. Cummings (Democratic) Winner","(Write-in) Dorothy C. Jennings (Republican)","Kenneth Kondner (Republican)",,
"Baltimore City","84558","5","4872",,
"Baltimore ","28141","1","13870",,


"Representative in Congress - Vote For One - Congressional District: 08",,
"","Ralph G. Neas (Democratic)","Constance A. Morella (Republican) Winner","(Write-in) Kevin Carmody (Natural-Law)",,
"Montgomery","87497","133145","106",,


"State Senator - Vote For One - Legislative District: 01",,
"","John J. Hafer (Republican) Winner",,
"Allegany","13805",,
"Garrett","6747",,


"State Senator - Vote For One - Legislative District: 02",,
"","Donald F. Munson (Republican) Winner",,
"Washington","22347",,


"State Senator - Vote For One - Legislative District: 03",,
"","Ronald S. Bird (Democratic)","Alexander X. Mooney (Republican) Winner",,
"Frederick","11958","14006",,
"Washington","2254","4393",,


"State Senator - Vote For One - Legislative District: 04",,
"","George Hayes Littrell Jr. (Democratic)","Timothy R. Ferguson (Republican) Winner",,
"Carroll","2517","5615",,
"Frederick","13139","13363",,


"State Senator - Vote For One - Legislative District: 05",,
"","Larry E. Haines (Republican) Winner",,
"Carroll","29341",,


"State Senator - Vote For One - Legislative District: 06",,
"","Michael J. Collins (Democratic) Winner","Kenneth C. Holt (Republican)",,
"Baltimore ","13211","10028",,
"Harford","940","1435",,


"State Senator - Vote For One - Legislative District: 07",,
"","Norman R. Stone Jr. (Democratic) Winner",,
"Baltimore ","21142",,


"State Senator - Vote For One - Legislative District: 08",,
"","Thomas L. Bromwell (Democratic) Winner","William Rush (Republican)",,
"Baltimore City","916","397",,
"Baltimore ","21921","10557",,


"State Senator - Vote For One - Legislative District: 09",,
"","Anthony O. Blades (Democratic)","Andrew P. Harris (Republican) Winner",,
"Baltimore ","15780","24814",,


"State Senator - Vote For One - Legislative District: 10",,
"","Delores G. Kelley (Democratic) Winner",,
"Baltimore City","4686",,
"Baltimore ","21309",,


"State Senator - Vote For One - Legislative District: 11",,
"","Paula C. Hollinger (Democratic) Winner",,
"Baltimore ","33726",,


"State Senator - Vote For One - Legislative District: 12",,
"","Edward J. Kasemeyer (Democratic) Winner","David P. Maier (Republican)",,
"Baltimore ","9327","7279",,
"Howard","11626","8370",,


"State Senator - Vote For One - Legislative District: 13",,
"","Raymond M. Rankin (Democratic)","Martin G. Madden (Republican) Winner",,
"Howard","12438","16671",,
"Prince George`s","2624","2736",,


"State Senator - Vote For One - Legislative District: 14",,
"","David S. Hantman (Democratic)","Christopher J. McCabe (Republican) Winner",,
"Howard","11668","19553",,
"Montgomery","8081","7540",,


"State Senator - Vote For One - Legislative District: 15",,
"","Jean W. Roesser (Republican) Winner","Gail Ewing (Democratic)",,
"Montgomery","20824","20073",,


"State Senator - Vote For One - Legislative District: 16",,
"","Brian E. Frosh (Democratic) Winner","Augustus Alzona (Republican)",,
"Montgomery","28311","12564",,


"State Senator - Vote For One - Legislative District: 17",,
"","Jennie M. Forehand (Democratic) Winner","Frederick Ugast (Republican)",,
"Montgomery","20099","9532",,


"State Senator - Vote For One - Legislative District: 18",,
"","Christopher VanHollen (Democratic) Winner","Mark Spradley (Republican)",,
"Montgomery","24111","8818",,


"State Senator - Vote For One - Legislative District: 19",,
"","Leonard H. Teitelbaum (Democratic) Winner","Lynn Siguenza (Republican)",,
"Montgomery","25358","11515",,


"State Senator - Vote For One - Legislative District: 20",,
"","Ida G. Ruben (Democratic) Winner","Thomas R. Falcinelli (Republican)",,
"Montgomery","22501","5696",,


"State Senator - Vote For One - Legislative District: 21",,
"","Arthur Dorman (Democratic) Winner","Richard Burkhart (Republican)",,
"Montgomery","1326","220",,
"Prince George`s","13920","6165",,


"State Senator - Vote For One - Legislative District: 22",,
"","Paul G. Pinsky (Democratic) Winner",,
"Prince George`s","16582",,


"State Senator - Vote For One - Legislative District: 23",,
"","Leo E. Green (Democratic) Winner",,
"Prince George`s","29164",,


"State Senator - Vote For One - Legislative District: 24",,
"","Nathaniel Exum (Democratic) Winner",,
"Prince George`s","21316",,


"State Senator - Vote For One - Legislative District: 25",,
"","Ulysses Currie (Democratic) Winner",,
"Prince George`s","21934",,


"State Senator - Vote For One - Legislative District: 26",,
"","Gloria Lawlah (Democratic) Winner",,
"Prince George`s","25303",,


"State Senator - Vote For One - Legislative District: 27",,
"","Thomas V. Mike Miller Jr. (Democratic) Winner","Robert A. Sturgell (Republican)",,
"Anne Arundel","1943","2273",,
"Calvert","4688","4511",,
"Prince George`s","20951","5403",,


"State Senator - Vote For One - Legislative District: 28",,
"","Thomas McLain Middleton (Democratic) Winner","Allan R. Smith (Republican)",,
"Charles","19722","11710",,


"State Senator - Vote For One - Legislative District: 29",,
"","Roy Dyson (Democratic) Winner","Culver Sprogle Ladd (Republican)",,
"Calvert","7627","5006",,
"St. Mary`s","17144","4380",,


"State Senator - Vote For One - Legislative District: 30",,
"","John C. Astle (Democratic) Winner","Peter James DeNucci (Republican)",,
"Anne Arundel","26029","14154",,


"State Senator - Vote For One - Legislative District: 31",,
"","Philip C. Jimeno (Democratic) Winner","Jacqueline J. Turley (Republican)",,
"Anne Arundel","22917","11364",,


"State Senator - Vote For One - Legislative District: 32",,
"","James E. DeGrange Sr. (Democratic) Winner","Edward Middlebrooks (Republican)",,
"Anne Arundel","15445","14358",,


"State Senator - Vote For One - Legislative District: 33",,
"","Robert R. Neall (Republican) Winner",,
"Anne Arundel","32088",,


"State Senator - Vote For One - Legislative District: 34",,
"","Mary Louise Preis (Democratic)","Nancy Jacobs (Republican) Winner",,
"Harford","18857","18996",,


"State Senator - Vote For One - Legislative District: 35",,
"","Donald C. Fry (Democratic)","J. Robert Hooper (Republican) Winner",,
"Cecil","4811","4770",,
"Harford","13559","17971",,


"State Senator - Vote For One - Legislative District: 36",,
"","Walter M. Baker (Democratic) Winner","Allaire D. Williams (Republican)",,
"Caroline","455","370",,
"Cecil","5612","4910",,
"Kent","4039","2203",,
"Queen Anne`s","7271","5158",,
"Talbot","1140","1009",,


"State Senator - Vote For One - Legislative District: 37",,
"","Robert Alan Thornton Jr. (Democratic)","Richard F. Colburn (Republican) Winner",,
"Caroline","3179","2849",,
"Dorchester","3563","5188",,
"Talbot","2919","6078",,
"Wicomico","3362","4350",,


"State Senator - Vote For One - Legislative District: 38",,
"","Donald Ewalt (Democratic)","J. Lowell Stoltzfus (Republican) Winner",,
"Somerset","1669","4459",,
"Wicomico","5217","8043",,
"Worcester","5548","9620",,


"State Senator - Vote For One - Legislative District: 39",,
"","Maurice Miles (Democratic)","Patrick J. Hogan (Republican) Winner",,
"Montgomery","14187","17082",,


"State Senator - Vote For One - Legislative District: 40",,
"","Ralph M. Hughes (Democratic) Winner","Melvin E. Stubbs (Republican)",,
"Baltimore City","16818","683",,


"State Senator - Vote For One - Legislative District: 41",,
"","Clarence W. Blount (Democratic) Winner",,
"Baltimore City","17388",,


"State Senator - Vote For One - Legislative District: 42",,
"","Barbara A. Hoffman (Democratic) Winner",,
"Baltimore City","17256",,
"Baltimore ","8327",,


"State Senator - Vote For One - Legislative District: 43",,
"","Joan Carter Conway (Democratic) Winner","Nimrod Westcott Jr. (Independent)",,
"Baltimore City","20120","2914",,


"State Senator - Vote For One - Legislative District: 44",,
"","Clarence M. Mitchell IV (Democratic) Winner",,
"Baltimore City","11304",,


"State Senator - Vote For One - Legislative District: 45",,
"","Nathaniel J. McFadden (Democratic) Winner",,
"Baltimore City","15005",,


"State Senator - Vote For One - Legislative District: 46",,
"","Perry Sfikas (Democratic) Winner",,
"Baltimore City","12770",,
"Baltimore ","2121",,


"State Senator - Vote For One - Legislative District: 47",,
"","George W. Della (Democratic) Winner","Edward Fowler (Republican)",,
"Baltimore City","8937","1734",,
"Baltimore ","6879","4279",,


"House of Delegates - Vote For One - Legislative District: 01A",,
"","Lawson L. Duckworth (Democratic)","George C. Edwards (Republican) Winner",,
"Allegany","212","1262",,
"Garrett","1458","6737",,


"House of Delegates - Vote For One - Legislative District: 01B",,
"","Kevin Kelly (Democratic) Winner","Patricia Wolfe (Republican)",,
"Allegany","5232","4991",,


"House of Delegates - Vote For One - Legislative District: 01C",,
"","Casper R. Taylor Jr. (Democratic) Winner","Eileen Brinker Steele (Republican)",,
"Allegany","6205","2648",,


"House of Delegates - Vote For One - Legislative District: 02A",,
"","Robert A. McKee (Republican) Winner",,
"Washington","8198",,


"House of Delegates - Vote For One - Legislative District: 02B",,
"","D. Bruce Poole (Democratic)","Christopher B. Shank (Republican) Winner",,
"Washington","4626","4873",,


"House of Delegates - Vote For One - Legislative District: 02C",,
"","John P. Donoghue (Democratic) Winner","(Write-in) Paul Muldowney (Democratic)",,
"Washington","4996","956",,


"House of Delegates - Vote For No More Than Three - Legislative District: 03",,
"","C. Sue Hecht (Democratic) Winner","David P. Koontz (Democratic)","Richard L. Stup (Democratic)","Joseph R. Bartlett (Republican) Winner","William M. Castle (Republican)","Louise V. Snodgrass (Republican) Winner",,
"Frederick","14565","8775","11149","11995","11973","15238",,
"Washington","3403","2083","2042","3789","3278","3958",,


"House of Delegates - Vote For No More Than Two - Legislative District: 04A",,
"","Valerie M. Hertges (Democratic)","David R. Brinkley (Republican) Winner","Paul S. Stull (Republican) Winner",,
"Frederick","9892","15383","14559",,


"House of Delegates - Vote For One - Legislative District: 04B",,
"","Ann M. Ballard (Democratic)","Donald B. Elliott (Republican) Winner",,
"Carroll","2830","5366",,
"Frederick","622","1531",,


"House of Delegates - Vote For No More Than Three - Legislative District: 05",,
"","Ellen Willis Miller (Democratic)","Carmen Amedori (Republican) Winner","Joseph M. Getty (Republican) Winner","Nancy R. Stocksdale (Republican) Winner",,
"Carroll","16735","21969","25114","27665",,


"House of Delegates - Vote For No More Than Three - Legislative District: 06",,
"","Diane DeCarlo (Democratic) Winner","Nancy Hubers (Democratic) Winner","Michael H. Weir (Democratic) Winner","Michael J. Davis (Republican)","Joseph A. DiCara (Republican)","Timothy P. Knepp (Republican)",,
"Baltimore ","12146","12150","11823","8451","10483","8260",,
"Harford","964","1004","1005","1148","1220","1083",,


"House of Delegates - Vote For No More Than Three - Legislative District: 07",,
"","John S. Arnick (Democratic) Winner","Joseph Minnick (Democratic) Winner","Jacob J. Mohorovic Jr. (Democratic) Winner","Gary Adams (Republican)","Jane Brooks (Republican)","Russell Mirabile (Republican)",,
"Baltimore ","14385","15095","16338","6178","9792","8947",,


"House of Delegates - Vote For No More Than Three - Legislative District: 08",,
"","J. Joseph Curran III (Democratic)","Katherine Ann Klausmeier (Democratic) Winner","Taras Andrew Vizzi (Democratic)","Joseph C. Boteler III (Republican)","James F. Ports Jr. (Republican) Winner","Alfred W. Redmer Jr. (Republican) Winner",,
"Baltimore City","846","758","401","378","554","571",,
"Baltimore ","16737","19077","9526","10928","17202","17275",,


"House of Delegates - Vote For No More Than Two - Legislative District: 09A",,
"","Stephen C. Kirsch (Democratic)","Wade Kach (Republican) Winner","Martha Scanlan Klima (Republican) Winner",,
"Baltimore ","10584","18382","19190",,


"House of Delegates - Vote For One - Legislative District: 09B",,
"","James M. Kelly (Republican) Winner",,
"Baltimore ","9514",,


"House of Delegates - Vote For No More Than Three - Legislative District: 10",,
"","Emmett C. Burns (Democratic) Winner","Adrienne Jones (Democratic) Winner","Shirley Nathan-Pulliam (Democratic) Winner",,
"Baltimore City","4169","3428","4145",,
"Baltimore ","19034","17248","17203",,


"House of Delegates - Vote For No More Than Three - Legislative District: 11",,
"","Michael J. Finifter (Democratic) Winner","Dan K. Morhaim (Democratic) Winner","Robert A. Zirkin (Democratic) Winner","Christian Cavey (Republican)","Grant Harding (Republican)","Virginia G. Schuster (Republican)","(Write-in) William T. Newton (Independent)",,
"Baltimore ","26823","26452","24231","15574","13710","17825","64",,


"House of Delegates - Vote For No More Than Two - Legislative District: 12A",,
"","Steven J. DeBoy Sr. (Democratic)","James E. Malone Jr. (Democratic) Winner","Donald E. Murphy (Republican) Winner","Loyd V. Smith (Republican)",,
"Baltimore ","8450","10543","8150","5175",,
"Howard","2219","2679","2770","2070",,


"House of Delegates - Vote For One - Legislative District: 12B",,
"","Elizabeth Bobo (Democratic) Winner","Todd A. Arterburn (Republican)",,
"Howard","9625","5430",,


"House of Delegates - Vote For No More Than Two - Legislative District: 13A",,
"","Shane Pendergrass (Democratic) Winner","Frank S. Turner (Democratic) Winner","Michael Grasso (Republican)","Hans K. Meeder (Republican)",,
"Howard","15791","14639","10690","10455",,


"House of Delegates - Vote For One - Legislative District: 13B",,
"","John A. Giannetti Jr. (Democratic) Winner","John S. Morgan (Republican)",,
"Howard","1348","1355",,
"Prince George`s","3602","2157",,


"House of Delegates - Vote For One - Legislative District: 14A",,
"","Tod David Sher (Democratic) Winner","Patricia Anne Faulkner (Republican)",,
"Montgomery","7132","6060",,


"House of Delegates - Vote For No More Than Two - Legislative District: 14B",,
"","William C. Woodcock Jr. (Democratic)","Robert L. Flanagan (Republican) Winner","Robert H. Kittleman (Republican) Winner",,
"Howard","11859","19765","20607",,
"Montgomery","1212","1387","1114",,


"House of Delegates - Vote For No More Than Three - Legislative District: 15",,
"","David B. Dashefsky (Democratic)","Anthony Patrick Puca (Democratic)","Mark K. Shriver (Democratic) Winner","William Ferner Askinazi (Republican)","Jean B. Cryor (Republican) Winner","Richard LaVay (Republican) Winner",,
"Montgomery","17818","16841","26114","16882","22160","18395",,


"House of Delegates - Vote For No More Than Three - Legislative District: 16",,
"","William A. Bronrott (Democratic) Winner","Marilyn Goldwater (Democratic) Winner","Nancy K. Kopp (Democratic) Winner","French Caldwell (Republican)","Adam S. Feuerstein (Republican)","Carol McChesney Palmer (Republican)",,
"Montgomery","26006","27502","27898","13836","13074","13044",,


"House of Delegates - Vote For No More Than Three - Legislative District: 17",,
"","Kumar P. Barve (Democratic) Winner","Michael R. Gordon (Democratic) Winner","Cheryl C. Kagan (Democratic) Winner","Barney Gorin (Republican)","Richard A. Marvin (Republican)","Christopher Russell (Republican)",,
"Montgomery","18617","18805","18713","11293","9534","10078",,


"House of Delegates - Vote For No More Than Three - Legislative District: 18",,
"","Leon G. Billings (Democratic) Winner","Sharon Grosfeld (Democratic) Winner","John Adams Hurson (Democratic) Winner","Albert Bullock (Republican)",,
"Montgomery","23779","24306","23592","10602",,


"House of Delegates - Vote For No More Than Three - Legislative District: 19",,
"","Henry B. Heller (Democratic) Winner","Adrienne A. Mandel (Democratic) Winner","Carol S. Petzold (Democratic) Winner","John Naughton (Republican)",,
"Montgomery","25851","25762","25193","15100",,


"House of Delegates - Vote For No More Than Three - Legislative District: 20",,
"","Dana Lee Dembrow (Democratic) Winner","Peter Franchot (Democratic) Winner","Sheila Ellis Hixson (Democratic) Winner","James K. Harrison Jr. (Republican)","Franklin U. Hackenberg (Republican)","John C. Leahy (Republican)",,
"Montgomery","22396","21208","21895","5602","5163","6020",,


"House of Delegates - Vote For No More Than Three - Legislative District: 21",,
"","Barbara A. Frush (Democratic) Winner","Pauline H. Menes (Democratic) Winner","Brian R. Moe (Democratic) Winner","John W. Anna Jr. (Republican)","Benny P Aquilino (Republican)","Frances C. Shellenberger (Republican)",,
"Montgomery","1274","1246","1212","192","205","214",,
"Prince George`s","13227","13623","12841","6330","5759","6357",,


"House of Delegates - Vote For No More Than Two - Legislative District: 22A",,
"","Anne Healey (Democratic) Winner","Richard A. Palumbo (Democratic) Winner",,
"Prince George`s","11204","11375",,


"House of Delegates - Vote For One - Legislative District: 22B",,
"","Rushern L. Baker III (Democratic) Winner","Peter Justesen (Republican)",,
"Prince George`s","4630","923",,


"House of Delegates - Vote For No More Than Three - Legislative District: 23",,
"","Mary A. Conroy (Democratic) Winner","James W. Hubbard (Democratic) Winner","Joan Breslin Pitkin (Democratic) Winner","Joseph Marvin Braswell Sr. (Republican)","Paul Tucker (Republican)",,
"Prince George`s","27018","25100","26904","10029","9996",,


"House of Delegates - Vote For No More Than Three - Legislative District: 24",,
"","Joanne C. Benson (Democratic) Winner","Carolyn J.B. Howard (Democratic) Winner","Darren M. Swain (Democratic) Winner",,
"Prince George`s","20137","20123","19396",,


"House of Delegates - Vote For No More Than Three - Legislative District: 25",,
"","Anthony Brown (Democratic) Winner","Dereck E. Davis (Democratic) Winner","Melony Griffith (Democratic) Winner",,
"Prince George`s","20660","20262","20595",,


"House of Delegates - Vote For No More Than Three - Legislative District: 26",,
"","Kerry Hill (Democratic) Winner","Obie Patterson (Democratic) Winner","David M. Valderrama (Democratic) Winner",,
"Prince George`s","23174","23465","23269",,


"House of Delegates - Vote For No More Than Two - Legislative District: 27A",,
"","James E. Proctor Jr. (Democratic) Winner","Joseph F. Vallario Jr. (Democratic) Winner",,
"Prince George`s","20572","20492",,


"House of Delegates - Vote For One - Legislative District: 27B",,
"","George W. Owings III (Democratic) Winner","Joseph J. Rooney (Republican)",,
"Anne Arundel","2088","2083",,
"Calvert","5515","3708",,


"House of Delegates - Vote For No More Than Three - Legislative District: 28",,
"","Samuel C. Linton (Democratic) Winner","Van T. Mitchell (Democratic) Winner","James Crawford (Republican)","Michael D. Hathaway (Republican)","Thomas E. Hutchins (Republican) Winner","(Write-in) George C. Vann (Republican)",,
"Charles","17268","17835","12780","11756","18012","1333",,


"House of Delegates - Vote For One - Legislative District: 29A",,
"","John F. Wood Jr. (Democratic) Winner","Shane Mattingly (Republican)",,
"St. Mary`s","5782","4584",,


"House of Delegates - Vote For One - Legislative District: 29B",,
"","John F. Slade III (Democratic) Winner","Donald Lee O'Neal (Republican)",,
"St. Mary`s","6327","3316",,


"House of Delegates - Vote For One - Legislative District: 29C",,
"","John M. Gott (Democratic)","Anthony J. O'Donnell (Republican) Winner",,
"Calvert","5227","7568",,
"St. Mary`s","545","833",,


"House of Delegates - Vote For No More Than Three - Legislative District: 30",,
"","Michael E. Busch (Democratic) Winner","Virginia P. Clagett (Democratic) Winner","Richard D'Amato (Democratic) Winner","Phillip Bissett (Republican)","Anthony McConkey (Republican)","Edward J. Turner (Republican)",,
"Anne Arundel","24075","24036","20223","18690","12353","14119",,


"House of Delegates - Vote For No More Than Three - Legislative District: 31",,
"","Joan Cadden (Democratic) Winner","Thomas J. Fleckenstein (Democratic)","Mary Rosso (Democratic) Winner","John R. Leopold (Republican) Winner","Victoria L. Schade (Republican)","Robert Schaeffer (Republican)",,
"Anne Arundel","19214","11862","15372","21632","15366","12092",,


"House of Delegates - Vote For No More Than Three - Legislative District: 32",,
"","Mary Ann Love (Democratic) Winner","Theodore Sophocleus (Democratic) Winner","Victor Sulin (Democratic)","Michael W. Burns (Republican)","Betty Ann O'Neill (Republican)","James E. Rzepkowski (Republican) Winner",,
"Anne Arundel","15823","15382","12658","13247","11752","14959",,


"House of Delegates - Vote For No More Than Three - Legislative District: 33",,
"","Gayle Powell (Democratic)","Marcia Richard (Democratic)","Shelia Schneider (Democratic)","Robert C. Baldwin (Republican) Winner","David Boschert (Republican) Winner","Janet Greenip (Republican) Winner",,
"Anne Arundel","16145","15210","14648","23050","23173","23256",,


"House of Delegates - Vote For No More Than Three - Legislative District: 34",,
"","Mary Dulany James (Democratic) Winner","B. Daniel Riley (Democratic) Winner","Robin Walter (Democratic)","Charles R. Boutin (Republican) Winner","Michael Griffin (Republican)","Robert E. Shaffner (Republican)",,
"Harford","18357","17798","15370","17844","15207","16236",,


"House of Delegates - Vote For No More Than Two - Legislative District: 35A",,
"","Michael G. Comeau (Democratic)","Lee D. McDaniel (Democratic)","Barry Glassman (Republican) Winner","Joanne S. Parrott (Republican) Winner",,
"Harford","13250","10291","17998","14963",,


"House of Delegates - Vote For One - Legislative District: 35B",,
"","David D. Rudolph (Democratic) Winner","Robert H. Ward (Republican)",,
"Cecil","6333","3433",,


"House of Delegates - Vote For One - Legislative District: 36 - Cecil County",,
"","Ronald A. Guns (Democratic) Winner","Ronald F. Lobos (Republican)",,
"Caroline","432","355",,
"Cecil","6264","4275",,
"Kent","3888","2119",,
"Queen Anne`s","6050","5585",,
"Talbot","1023","967",,


"House of Delegates - Vote For One - Legislative District: 36 - Kent County",,
"","Clarence A. Hawkins (Democratic)","Mary Roe Walkup (Republican) Winner",,
"Caroline","325","462",,
"Cecil","4173","5095",,
"Kent","3178","3640",,
"Queen Anne`s","4340","7229",,
"Talbot","639","1294",,


"House of Delegates - Vote For One - Legislative District: 36 - Queen Anne's County",,
"","Wheeler R. Baker (Democratic) Winner","Richard Sossi (Republican)",,
"Caroline","429","369",,
"Cecil","4475","4735",,
"Kent","3378","2505",,
"Queen Anne`s","7800","5251",,
"Talbot","1027","947",,


"House of Delegates - Vote For One - Legislative District: 37A",,
"","Rudolph C. Cane (Democratic) Winner","Jacqueline B. Jones (Republican)",,
"Dorchester","1533","659",,
"Wicomico","3028","2061",,


"House of Delegates - Vote For No More Than Two - Legislative District: 37B",,
"","William Steven Brohawn (Democratic)","Adelaide C. Eckardt (Republican) Winner","Kenneth D. Schisler (Republican) Winner",,
"Caroline","1723","3908","3871",,
"Dorchester","2208","4826","3332",,
"Talbot","2335","5970","6924",,
"Wicomico","1074","1854","1477",,


"House of Delegates - Vote For One - Legislative District: 38 - Somerset County",,
"","Ernest J. Leatherbury Sr. (Democratic)","Charles McClenahan (Republican) Winner",,
"Somerset","3192","3129",,
"Wicomico","5802","6378",,
"Worcester","6717","7605",,


"House of Delegates - Vote For One - Legislative District: 38 - Wicomico County",,
"","Norman H. Conway (Democratic) Winner","Christopher Mills (Republican)",,
"Somerset","3265","2388",,
"Wicomico","7363","5965",,
"Worcester","7656","6543",,


"House of Delegates - Vote For One - Legislative District: 38 - Worcester County",,
"","Bennett Bozman (Democratic) Winner","Joseph Frederick Schanno (Republican)",,
"Somerset","3942","1431",,
"Wicomico","7363","4184",,
"Worcester","9850","5285",,


"House of Delegates - Vote For No More Than Three - Legislative District: 39",,
