

"Governor / Lt. Governor - Vote For One Pair - ",,
"","Parris N. Glendening/Kathleen Kennedy Townsend (Democratic) Winner","Ellen R. Sauerbrey/Paul H. Rappaport (Republican)","Don Allensworth/Linda K. Hartman (Democratic)",,
"Allegany","9292","12388","0",,
"Anne Arundel","54920","83663","49",,
"Baltimore City","114022","38420","1",,
"Baltimore ","102398","134663","15",,
"Calvert","7348","11430","0",,
"Caroline","2236","4529","0",,
"Carroll","12310","31787","5",,
"Cecil","6808","12020","0",,
"Charles","10074","15737","0",,
"Dorchester","3434","5325","0",,
"Frederick","17024","30992","3",,
"Garrett","1859","6267","0",,
"Harford","22884","42124","4",,
"Howard","34198","39466","7",,
"Kent","2822","3873","1",,
"Montgomery","149015","104988","7",,
"Prince George`s","114256","52855","0",,
"Queen Anne`s","3994","7451","1",,
"St. Mary`s","7902","11138","0",,
"Somerset","2324","3996","0",,
"Talbot","3743","7187","0",,
"Washington","11405","20598","11",,
"Wicomico","8766","12938","1",,
"Worcester","5060","8266","0",,


"Comptroller - Vote For One - ",,
"","Louis L. Goldstein (Democratic) Winner","Timothy R. Mayberry (Republican)",,
"Allegany","11434","7998",,
"Anne Arundel","73549","62820",,
"Baltimore City","110562","24912",,
"Baltimore ","132895","82129",,
"Calvert","10623","7663",,
"Caroline","3442","2905",,
"Carroll","20344","22757",,
"Cecil","10089","7354",,
"Charles","13056","11148",,
"Dorchester","4730","3286",,
"Frederick","22219","24579",,
"Garrett","3939","3500",,
"Harford","36030","27482",,
"Howard","38498","32572",,
"Kent","4165","2410",,
"Montgomery","148096","96718",,
"Prince George`s","107238","43789",,
"Queen Anne`s","5951","4895",,
"St. Mary`s","10694","7790",,
"Somerset","3940","2023",,
"Talbot","5275","4954",,
"Washington","14081","17418",,
"Wicomico","11936","9423",,
"Worcester","7066","6106",,


"Attorney General - Vote For One - ",,
"","J. Joseph Curran Jr. (Democratic) Winner","Richard D. Bennett (Republican)",,
"Allegany","7480","9943",,
"Anne Arundel","61018","73129",,
"Baltimore City","110085","28867",,
"Baltimore ","112314","107782",,
"Calvert","6761","9566",,
"Caroline","2515","3489",,
"Carroll","15324","27009",,
"Cecil","7570","9159",,
"Charles","10153","12572",,
"Dorchester","3399","4188",,
"Frederick","16622","28704",,
"Garrett","2092","4621",,
"Harford","27592","34797",,
"Howard","34668","35942",,
"Kent","3279","2965",,
"Montgomery","136164","105738",,
"Prince George`s","104909","45230",,
"Queen Anne`s","4473","5822",,
"St. Mary`s","7663","9831",,
"Somerset","2043","3192",,
"Talbot","3741","5908",,
"Washington","10625","19290",,
"Wicomico","7455","13194",,
"Worcester","5224","7584",,


"U.S. Senator - Vote For One - ",,
"","Paul S. Sarbanes (Democratic)","William Brock (Republican)","Terri Tilghman Deakyne (Democratic)",,
"Allegany","11185","9190","0",,
"Anne Arundel","66138","71255","14",,
"Baltimore City","118796","26632","3",,
"Baltimore ","126189","98813","33",,
"Calvert","8978","8896","0",,
"Caroline","3089","3411","0",,
"Carroll","18386","24913","4",,
"Cecil","9140","8935","0",,
"Charles","12986","12131","0",,
"Dorchester","4377","3896","0",,
"Frederick","21402","25695","3",,
"Garrett","3273","4465","0",,
"Harford","32269","31779","2",,
"Howard","40106","32513","1",,
"Kent","3746","2802","0",,
"Montgomery","157737","94197","2",,
"Prince George`s","116485","42650","0",,
"Queen Anne`s","5370","5637","4",,
"St. Mary`s","10484","8255","0",,
"Somerset","3372","2744","0",,
"Talbot","4490","6004","0",,
"Washington","13085","18395","3",,
"Wicomico","11261","10291","0",,
"Worcester","6781","6409","2",,


"Representative in Congress - Vote For One - Congressional District: 01",,
"","Wayne Boyle (Democratic)","Ralph T. Gies (Democratic)","Wayne T. Gilchrest (Republican) Winner",,
"Anne Arundel","104","31128","47478",,
"Baltimore City","0","644","739",,
"Caroline","1","1473","4696",,
"Cecil","3","5191","12195",,
"Dorchester","5","2082","5581",,
"Kent","1","1120","5488",,
"Queen Anne`s","9","2349","8326",,
"Somerset","0","1891","4030",,
"Talbot","1","1703","8333",,
"Wicomico","3","6492","14749",,
"Worcester","0","3639","9360",,


"Representative in Congress - Vote For One - Congressional District: 02",,
"","Gerry L. Brewster (Democratic)","John Benjamin Liston (Democratic)","James A. Young (Democratic)","Robert L. Ehrlich Jr. (Republican) Winner","Charles G. Grace (Independent)",,
"Anne Arundel","5444","0","2","10833","3",,
"Baltimore ","46282","9","5","73869","12",,
"Harford","22549","4","3","40460","5",,


"Representative in Congress - Vote For One - Congressional District: 03",,
"","Benjamin L. Cardin (Democratic) Winner","Robert Ryan Tousey (Republican)",,
"Anne Arundel","8043","6089",,
"Baltimore City","43621","12173",,
"Baltimore ","46448","17790",,
"Howard","19157","11914",,


"Representative in Congress - Vote For One - Congressional District: 04",,
"","Albert R. Wynn (Democratic) Winner","Michele Dyson (Republican)",,
"Montgomery","26242","16170",,
"Prince George`s","66906","14829",,


"Representative in Congress - Vote For One - Congressional District: 05",,
"","Harold Glynn Dial (Democratic)","Steny H. Hoyer (Democratic) Winner","Donald Devine (Republican)","Matthew Lorin Groom (Republican)",,
"Anne Arundel","7","11712","13651","0",,
"Calvert","0","9214","8837","0",,
"Charles","5","13827","11496","0",,
"Prince George`s","1","52447","27831","0",,
"St. Mary`s","0","11621","7396","0",,


"Representative in Congress - Vote For One - Congressional District: 06",,
"","Paul Muldowney (Democratic)","Roscoe Bartlett (Republican) Winner",,
"Allegany","7048","12296",,
"Carroll","11795","30123",,
"Frederick","15445","31462",,
"Garrett","1742","5901",,
"Howard","15286","23672",,
"Washington","12095","19355",,


"Representative in Congress - Vote For One - Congressional District: 07",,
"","Kweisi Mfume (Democratic) Winner","Kenneth Kondner (Republican)",,
"Baltimore City","76550","7215",,
"Baltimore ","20466","14792",,


"Representative in Congress - Vote For One - Congressional District: 08",,
"","Steven Van Grack (Democratic)","Constance A. Morella (Republican) Winner",,
"Montgomery","60660","143449",,


"State Senator - Vote For One - Legislative District: 01",,
"","Edward A. Malloy Jr. (Democratic)","John J. Hafer (Republican) Winner",,
"Allegany","6739","14298",,
"Garrett","1470","6198",,


"State Senator - Vote For One - Legislative District: 02",,
"","Laura J. Wright (Democratic)","Donald F. Munson (Republican) Winner",,
"Washington","4535","20242",,


"State Senator - Vote For One - Legislative District: 03",,
"","Charles R. Luttrell (Democratic)","John W. Derr (Republican) Winner",,
"Frederick","7761","15556",,
"Washington","1273","4501",,


"State Senator - Vote For One - Legislative District: 04",,
"","George Littrell (Democratic)","Timothy R. Ferguson (Republican) Winner",,
"Carroll","2052","5169",,
"Frederick","12444","10806",,


"State Senator - Vote For One - Legislative District: 05",,
"","Cynthia Huggins Cummings (Democratic)","Larry E. Haines (Republican) Winner",,
"Carroll","12857","22599",,


"State Senator - Vote For One - Legislative District: 06",,
"","Michael J. Collins (Democratic) Winner","Alfred E. Clasing Jr. (Republican)",,
"Baltimore ","11566","9254",,
"Harford","897","1257",,


"State Senator - Vote For One - Legislative District: 07",,
"","Norman R. Stone Jr. (Democratic) Winner","Russell Mirabile (Republican)",,
"Baltimore ","16853","8710",,


"State Senator - Vote For One - Legislative District: 08",,
"","Thomas L. Bromwell (Democratic) Winner","John J. Bishop (Republican)",,
"Baltimore City","903","573",,
