

"Governor / Lt. Governor - Vote For One - ",,
"","William Donald Schaefer/Melvin A. Steinberg (Democratic) Winner","William S. Shepard/Lois B. Shepard (Republican)","Carol Thies (Other)",,
"Allegany","14624","7345","0",,
"Anne Arundel","56253","58507","13",,
"Baltimore City","81542","32260","7",,
"Baltimore ","104689","92602","11",,
"Calvert","8003","5295","1",,
"Caroline","1751","3910","0",,
"Carroll","13037","18281","0",,
"Cecil","7671","7473","3",,
"Charles","12861","6969","2",,
"Dorchester","2599","5324","0",,
"Frederick","15398","17718","4",,
"Garrett","2621","4010","1",,
"Harford","22090","20832","2",,
"Howard","32158","19809","14",,
"Kent","2293","3095","0",,
"Montgomery","143948","61444","41",,
"Prince George`s","102642","27520","32",,
"Queen Anne`s","2821","6382","0",,
"St. Mary`s","8838","5159","0",,
"Somerset","2912","3221","0",,
"Talbot","3375","5612","1",,
"Washington","9619","16941","2",,
"Wicomico","6647","12057","0",,
"Worcester","5623","5214","0",,


"Comptroller 005 - Vote For One - ",,
"","Louis L. Goldstein (Democratic) Winner","Larry M. Epstein (Republican)","Rachele Fruit (Other)",,
"Allegany","14613","4866","0",,
"Anne Arundel","78293","35833","3",,
"Baltimore City","85839","19499","9",,
"Baltimore ","125817","61233","1",,
"Calvert","9991","3688","0",,
"Caroline","3810","1588","0",,
"Carroll","20943","11504","0",,
"Cecil","10176","4158","0",,
"Charles","13425","5017","0",,
"Dorchester","5446","1977","0",,
"Frederick","20725","11562","0",,
"Garrett","3928","2105","0",,
"Harford","31701","12937","0",,
"Howard","34180","17411","3",,
"Kent","4016","1229","0",,
"Montgomery","143731","55257","5",,
"Prince George`s","97494","23480","3",,
"Queen Anne`s","6429","2461","0",,
"St. Mary`s","10814","3045","0",,
"Somerset","4692","1174","0",,
"Talbot","5994","2576","1",,
"Washington","17464","7265","0",,
"Wicomico","12901","5218","0",,
"Worcester","7810","2578","0",,


"Attorney General - Vote For One - ",,
"","J. Joseph Curran Jr. (Democratic) Winner","Edward L. Blanton Jr. (Republican)",,
"Allegany","10215","5577",,
"Anne Arundel","63390","46472",,
"Baltimore City","85429","18245",,
"Baltimore ","112175","69399",,
"Calvert","6805","4142",,
"Caroline","2871","1886",,
"Carroll","16940","14450",,
"Cecil","7530","5585",,
"Charles","9814","6262",,
"Dorchester","4167","2161",,
"Frederick","15627","14509",,
"Garrett","2332","2614",,
"Harford","26424","16899",,
"Howard","29109","21425",,
"Kent","2928","1567",,
"Montgomery","126113","66047",,
"Prince George`s","86903","26417",,
"Queen Anne`s","4689","3067",,
"St. Mary`s","7707","4025",,
"Somerset","2978","1747",,
"Talbot","4236","3293",,
"Washington","9874","9975",,
"Wicomico","8932","6703",,
"Worcester","5899","3316",,


"Representative in Congress - Vote For One - Congressional District: 01",,
"","Roy Dyson (Democratic)","Wayne T. Gilchrest (Republican) Winner",,
"Calvert","5679","7605",,
"Caroline","1990","3697",,
"Cecil","6543","8866",,
"Charles","9535","10312",,
"Dorchester","3849","4450",,
"Harford","5987","11722",,
"Kent","1434","4191",,
"Queen Anne`s","2491","6823",,
"St. Mary`s","9642","5215",,
"Somerset","3797","2731",,
"Talbot","1976","7181",,
"Wicomico","8935","10558",,
"Worcester","5660","5569",,


"Representative in Congress - Vote For One - Congressional District: 02",,
"","Ronald P. Bowers (Democratic)","Helen Delich Bentley (Republican) Winner",,
"Baltimore ","32684","95140",,
"Harford","7101","20258",,


"Representative in Congress - Vote For One - Congressional District: 03",,
"","Benjamin L. Cardin (Democratic) Winner","Harwood Nichols (Republican)",,
"Baltimore City","38297","13793",,
"Baltimore ","31225","14401",,
"Howard","13023","7647",,


"Representative in Congress - Vote For One - Congressional District: 04",,
"","Thomas McMillen (Democratic) Winner","Robert P. Duckworth (Republican)",,
"Anne Arundel","61585","52842",,
"Howard","4695","3198",,
"Prince George`s","19321","3806",,


"Representative in Congress - Vote For One - Congressional District: 05",,
"","Steny H. Hoyer (Democratic) Winner","Lee F. Breuer (Republican)",,
"Prince George`s","84747","20314",,


"Representative in Congress - Vote For One - Congressional District: 06",,
"","Beverly B. Byron (Democratic) Winner","Christopher P. Fiotes Jr. (Republican)",,
"Allegany","15248","4468",,
"Carroll","21730","10784",,
"Frederick","22116","10946",,
"Garrett","4671","1764",,
"Howard","12935","8975",,
"Montgomery","14851","10634",,
"Washington","14951","8908",,


"Representative in Congress - Vote For One - Congressional District: 07",,
"","Kweisi Mfume (Democratic) Winner","Kenneth Kondner (Republican)","Glova Scott (Other)",,
"Baltimore City","51438","5850","2",,
"Baltimore ","8190","4679","1",,


"Representative in Congress - Vote For One - Congressional District: 08",,
"","James Walker Jr. (Democratic)","Constance A. Morella (Republican) Winner","Sidney Altman (Independent)",,
"Montgomery","39343","130059","7485",,


"State Senator - Vote For One - Legislative District: 01",,
"","Daniel F. McMullen (Democratic)","John J. Hafer (Republican) Winner",,
"Allegany","7866","9334",,
"Garrett","2260","5063",,


"State Senator - Vote For One - Legislative District: 02",,
"","Patricia K. Cushwa (Democratic)","Donald F. Munson (Republican) Winner",,
"Allegany","2460","1325",,
"Washington","5017","12046",,


"State Senator - Vote For One - Legislative District: 03",,
"","John W. Derr (Democratic) Winner",,
"Frederick","12003",,
"Washington","4867",,


"State Senator - Vote For One - Legislative District: 04",,
"","Charles H. Smelser (Democratic) Winner",,
"Carroll","4619",,
"Frederick","11965",,
"Howard","1439",,


"State Senator - Vote For One - Legislative District: 05",,
"","J. Jeffrey Griffith (Democratic)","Larry E. Haines (Republican) Winner",,
"Baltimore ","2527","2018",,
"Carroll","11846","14382",,


"State Senator - Vote For One - Legislative District: 06",,
"","Michael J. Collins (Democratic) Winner","George Egbert (Republican)","Frederick George Schiesser (Independent)",,
"Baltimore ","10500","4961","1985",,


"State Senator - Vote For One - Legislative District: 07",,
"","Matko Lee Chullin III (Democratic)","Norman R. Stone Jr. (Democratic) Winner",,
"Baltimore ","113","14821",,


"State Senator - Vote For One - Legislative District: 08",,
"","Thomas L. Bromwell (Democratic) Winner","William Rush (Republican)",,
"Baltimore ","15710","13286",,


"State Senator - Vote For One - Legislative District: 09",,
"","Kauko H. Kokkonen (Democratic)","F. Vernon Boozer (Republican) Winner",,
"Baltimore ","5111","20175",,


"State Senator - Vote For One - Legislative District: 10",,
"","Janice Piccinini (Democratic) Winner","Richard M. Cornwell (Republican)",,
"Baltimore ","19299","15334",,


"State Senator - Vote For One - Legislative District: 11",,
"","Paula Colodny Hollinger (Democratic) Winner",,
"Baltimore City","21077",,


"State Senator - Vote For One - Legislative District: 12",,
"","Nancy L. Murphy (Democratic) Winner","Dennis Lanahan (Republican)",,
"Baltimore ","12984","10534",,


"State Senator - Vote For One - Legislative District: 13",,
"","Thomas M. Yeager (Democratic) Winner","Guy L. Harriman (Republican)",,
"Howard","12579","9240",,
"Prince George`s","4487","2880",,


"State Senator - Vote For One - Legislative District: 14",,
"","Edward J. Kasemeyer (Democratic)","Christopher J. McCabe (Republican) Winner",,
"Howard","12862","13898",,
"Montgomery","10495","10095",,


"State Senator - Vote For One - Legislative District: 15",,
"","Laurence Levitan (Democratic) Winner","Robert J. Miller (Republican)",,
"Montgomery","22862","16821",,


"State Senator - Vote For One - Legislative District: 16",,
"","Charles F. Chester (Democratic)","Howard A. Denis (Republican) Winner",,
"Montgomery","14047","20041",,


"State Senator - Vote For One - Legislative District: 17",,
"","Mary Boergers (Democratic) Winner","William J. Skinner (Republican)",,
"Montgomery","15305","6772",,


"State Senator - Vote For One - Legislative District: 18",,
"","Patricia R. Sher (Democratic) Winner",,
"Montgomery","17827",,


"State Senator - Vote For One - Legislative District: 19",,
"","Idamae T. Garrott (Democratic) Winner","Herbert S. Rosenberg (Republican)",,
"Montgomery","22178","8504",,


"State Senator - Vote For One - Legislative District: 20",,
"","Ida G. Ruben (Democratic) Winner","Thomas R. Falcinelli (Republican)",,
"Montgomery","17941","6912",,


