President and Vice President of the United States - Vote For One - ,,,,,,,,,,,,,,,,,,,,
,Bill Clinton/Albert Gore Jr. (Democratic) Winner,George Bush/Dan Quayle (Republican),Ross Perot/James Stockdale (Independent),Andre Marrou/Nancy Lord (Libertarian),Lenora B Fulani/Maria Elizabeth Munoz (Alliance),Don Allenworth (Democratic),Willie Felix Carter (Democratic),Lyndon H. LaRouche Jr. (Democratic),Howard Phillips (Taxpayers),John Hagelin (Natural-Law),David Marshall Borkenhagen (Other),Thomas L. Chapman (Other),Ron Daniels (Other),Stephen Falcone (Other),Bo Gritz/Cy Minett (Other),Robert Edward Haines (Other),Americus Liberator (Other),George Muzyk (Other),Roy Wayne Tyree (Other),James A. Warren (Other)
,Michael C. Hickey Jr. (Democratic),Helen Delich Bentley (Republican) Winner,,,,,,,,,,,,,,,,,,
Anne Arundel,7031,13894,,,,,,,,,,,,,,,,,,
Baltimore ,51074,104148,,,,,,,,,,,,,,,,,,
Harford,30553,47401,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Representative in Congress - Vote For One - Congressional District: 03,,,,,,,,,,,,,,,,,,,,
,Benjamin L. Cardin (Democratic) Winner,William T. S. Bricker (Republican),Eric Ashelman (Other),James G. Fitzgerald (Other),,,,,,,,,,,,,,,,
Anne Arundel,11273,7120,2,19,,,,,,,,,,,,,,,,
Baltimore City,64427,13645,0,0,,,,,,,,,,,,,,,,
Baltimore ,59147,24080,0,0,,,,,,,,,,,,,,,,
Howard,28507,14024,1,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Representative in Congress - Vote For One - Congressional District: 04,,,,,,,,,,,,,,,,,,,,
,Albert R. Wynn (Democratic) Winner,Michele Dyson (Republican) Winner,R. Chinelo Haney (Other),Steve Kramer (Other),,,,,,,,,,,,,,,,
Montgomery,37024,25836,42,0,,,,,,,,,,,,,,,,
Prince George`s,99878,19330,5,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Representative in Congress - Vote For One - Congressional District: 05,,,,,,,,,,,,,,,,,,,,
,Steny H. Hoyer (Democratic) Winner,Lawrence J. Hogan Jr. (Republican),William D. Johntson (Independent),Lisa Ashelman (Other),James McLaughlin (Other),,,,,,,,,,,,,,,
Anne Arundel,14754,15605,2038,1,15,,,,,,,,,,,,,,,
Calvert,9011,10798,1421,0,0,,,,,,,,,,,,,,,
Charles,16035,17116,980,0,1,,,,,,,,,,,,,,,
Prince George`s,68147,42558,1957,1,22,,,,,,,,,,,,,,,
St. Mary`s,10365,11905,594,0,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Representative in Congress - Vote For One - Congressional District: 06,,,,,,,,,,,,,,,,,,,,
,Thomas H. Hattery (Democratic),Roscoe G. Bartlett (Republican) Winner,Kevin P. Condon (Other),Wayne Dougherty (Other),Edward K. Miller (Other),,,,,,,,,,,,,,,
Allegany,11970,11888,0,0,5,,,,,,,,,,,,,,,
Carroll,22979,27544,0,15,6,,,,,,,,,,,,,,,
Frederick,25578,36206,6,36,23,,,,,,,,,,,,,,,
Garrett,3132,5431,0,0,4,,,,,,,,,,,,,,,
Howard,26409,22800,3,4,4,,,,,,,,,,,,,,,
Washington,16156,21695,0,5,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Representative in Congress - Vote For One - Congressional District: 07,,,,,,,,,,,,,,,,,,,,
,Kweisi Mfume (Democratic) Winner,Kenneth Kondner (Republican),Margaret Ashelman (Other),Glova E. Scott (Other),,,,,,,,,,,,,,,,
Baltimore City,121743,8866,1,1,,,,,,,,,,,,,,,,
Baltimore ,30946,17438,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Representative in Congress - Vote For One - Congressional District: 08,,,,,,,,,,,,,,,,,,,,
,Edward J. Heffernan (Democratic),Constance A. Morella (Republican) Winner,David Lonsdorf (Other),,,,,,,,,,,,,,,,,
Montgomery,77042,203377,56,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For One - Judicial Circuit: 01,,,,,,,,,,,,,,,,,,,,
,Daniel M. Long (Both Parties) Winner,,,,,,,,,,,,,,,,,,,
Somerset,5087,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For One - Judicial Circuit: 02,,,,,,,,,,,,,,,,,,,,
,J. Frederick Price (Both Parties) Winner,,,,,,,,,,,,,,,,,,,
Kent,4810,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For No More Than Five - Judicial Circuit: 03,,,,,,,,,,,,,,,,,,,,
,Thomas J. Bollinger Sr. (Both Parties) Winner,J. Norris Byrnes (Both Parties) Winner,Robert E. Cahill Sr. (Both Parties) Winner,Edward A. DeWaters Jr. (Both Parties) Winner,Christian M. Kahl (Both Parties) Winner,,,,,,,,,,,,,,,
Baltimore ,128070,121001,124834,115242,119714,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Judge of the Circuit Court - Vote For One - Judicial Circuit: 05,,,,,,,,,,,,,,,,,,,,
