

"President and Vice President of the United States - Vote For One - ",,
"","Bill Clinton/Albert Gore Jr. (Democratic) Winner","Bob Dole/Jack Kemp (Republican)","Harry Browne/Jo Joregensen (Libertarian)","Ross Perot/James Campbell (Reform)","John Hagelin/Vinton Tompkins (Natural-Law)","Howard Phillips/Herbert W. Titus (Taxpayers)","Willie Felix Carter (Democratic)","Eldrige Kennedy Hodge (Democratic)","Harriet H. Gleason (Republican)","Jack Marbardy/Bill Carroll (Republican)","Isabell Masters (Republican)","Charles E. Collins/Rosemary Giumarra (Independent)","Keith Judd (Independent)","Ralph Nader (Independent)","Mary Cal Hollis (Other)",,
"Allegany","11025","12136","108","2652","33","42","0","0","0","0","0","1","0","5","0",,
"Anne Arundel","72147","83574","908","14287","187","361","1","0","2","0","0","0","0","216","2",,
"Baltimore City","145441","28467","888","7473","363","393","1","0","0","0","0","1","0","296","0",,
"Baltimore ","132599","114449","1592","20393","287","648","0","0","0","0","0","0","0","0","0",,
"Calvert","10008","11509","66","1932","18","20","0","0","0","0","0","0","0","13","0",,
"Caroline","3251","3874","63","947","10","26","0","0","0","0","0","0","0","6","0",,
"Carroll","17122","30316","359","4873","58","230","0","0","0","0","0","0","0","39","0",,
"Cecil","10144","10885","221","3124","26","46","0","0","0","0","0","1","0","13","0",,
"Charles","15890","17432","96","2333","18","33","0","0","0","0","0","0","0","21","2",,
"Dorchester","4613","4337","46","1008","18","17","0","0","0","0","0","0","0","13","0",,
"Frederick","25081","34494","336","4989","93","182","0","0","0","0","1","0","0","127","0",,
"Garrett","3121","5400","26","1200","7","30","0","0","0","0","0","0","0","2","0",,
"Harford","29779","39686","464","7939","80","243","0","0","0","0","0","0","0","0","0",,
"Howard","47569","40849","603","6011","162","149","2","0","0","0","0","0","0","163","0",,
"Kent","3207","3055","21","676","8","17","0","0","0","0","0","0","0","14","0",,
"Montgomery","198807","117730","1584","14450","717","390","7","3","0","0","0","0","0","1209","0",,
"Prince George`s","176612","52697","855","9153","278","364","0","3","1","0","0","0","0","339","0",,
"Queen Anne`s","5054","7147","69","1312","19","30","0","0","0","0","0","0","0","8","0",,
"St. Mary`s","9988","11835","72","1827","19","29","0","0","0","0","0","0","0","38","0",,
"Somerset","3557","2919","50","613","13","17","0","0","0","0","0","0","0","0","0",,
"Talbot","4821","6997","63","914","25","14","0","0","0","0","0","0","0","21","0",,
"Washington","16481","21434","148","3934","39","70","0","0","0","0","0","1","0","35","0",,
"Wicomico","12303","12687","73","2160","20","30","0","0","0","0","0","2","0","11","0",,
"Worcester","7587","7621","54","1612","19","21","0","0","0","0","0","0","17","0","0",,


"Representative in Congress - Vote For One - Congressional District: 01",,
"","Steven R. Eastaugh (Democratic)","Wayne T. Gilchrest (Republican) Winner","Gail Herson (Natural-Law)",,
"Anne Arundel","38827","54428","4",,
"Baltimore City","827","624","0",,
"Caroline","1977","4703","1",,
"Cecil","9233","13409","0",,
"Dorchester","3210","5048","1",,
"Kent","2063","4681","0",,
"Queen Anne`s","3701","9556","0",,
"Somerset","2381","3462","0",,
"Talbot","2927","9282","9",,
"Wicomico","9828","16330","1",,
"Worcester","6851","9510","2",,


"Representative in Congress - Vote For One - Congressional District: 02",,
"","Connie Galiazzo DeJuliis (Democratic)","Robert L. Ehrlich Jr. (Republican) Winner",,
"Anne Arundel","7085","11608",,
"Baltimore ","53387","83284",,
"Harford","27872","48183",,


"Representative in Congress - Vote For One - Congressional District: 03",,
"","Benjamin L. Cardin (Democratic) Winner","Patrick L. McDonough (Republican)",,
"Anne Arundel","9724","7489",,
"Baltimore City","42071","15301",,
"Baltimore ","51634","26219",,
"Howard","26775","14220",,


"Representative in Congress - Vote For One - Congressional District: 04",,
"","Albert R. Wynn (Democratic) Winner","John B. Kimble (Republican)",,
"Montgomery","41717","14138",,
"Prince George`s","100377","10562",,


"Representative in Congress - Vote For One - Congressional District: 05",,
"","Steny H. Hoyer (Democratic) Winner","John S. Morgan (Republican)",,
"Anne Arundel","15820","17157",,
"Calvert","11783","10944",,
"Charles","18823","16142",,
"Prince George`s","61166","38045",,
"St. Mary`s","13696","9518",,


"Representative in Congress - Vote For One - Congressional District: 06",,
"","Stephen Crawford (Democratic)","Roscoe Bartlett (Republican) Winner","Kevin Carmody (Natural-Law)","Don Allensworth (Democratic)",,
"Allegany","9778","11728","0","0",,
"Carroll","18239","31266","3","1",,
"Frederick","28135","35342","1","4",,
"Garrett","2857","6247","0","0",,
"Howard","23840","26064","0","11",,
"Washington","18061","22206","1","4",,


"Representative in Congress - Vote For One - Congressional District: 07",,
"","Elijah E. Cummings (Democratic) Winner","Kenneth Kondner (Republican)","Barry Farley (Democratic)",,
"Baltimore City","88188","6548","2",,
"Baltimore ","27576","16381","0",,


"Representative in Congress - Vote For One - Congressional District: 08",,
"","Donald Mooers (Democratic)","Constance A. Morella (Republican) Winner","Lih Y. Young (Democratic)","Robert Creager (Libertarian)","Barbara Ann Robson (Natural-Law)",,
"Montgomery","96229","152538","57","41","281",,


"Judge of the Circuit Court - Vote For No More Than Two - Judicial Circuit: 02",,
"","Donaldson Craig Cole Jr. (Both Parties) Winner","Dexter M. Thompson Jr. (Both Parties) Winner",,
"Cecil","16789","12748",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 03",,
"","Robert E. Cadigan (Both Parties) Winner",,
"Baltimore ","151119",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 03",,
"","Thomas E. Marshall (Both Parties) Winner",,
"Harford","54976",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 04",,
"","Frederick C. Wright (Both Parties) Winner",,
"Washington","32749",,


"Judge of the Circuit Court - Vote For No More Than Four - Judicial Circuit: 05",,
"","Clayton Greene Jr. (Both Parties) Winner","Eugene M. Lerner (Both Parties) Winner","Pamela L. North (Both Parties) Winner","Martin A. Wolff (Both Parties) Winner",,
"Anne Arundel","96239","92526","106200","89646",,


"Judge of the Circuit Court - Vote For One - Judicial Circuit: 05",,
"","Luke K. Burns Jr. (Both Parties) Winner",,
"Carroll","36678",,


"Judge of the Circuit Court - Vote For No More Than Two - Judicial Circuit: 05",,
"","Lenore R. Gelfman (Both Parties) Winner","Diane O. Leasure (Both Parties) Winner","Jonathan Scott Smith (Both Parties)","Donna Hill Staton (Both Parties)",,
"Howard","43842","44003","36697","41956",,


"Judge of the Circuit Court - Vote For No More Than Two - Judicial Circuit: 06",,
"","John H. Tisdale (Both Parties) Winner",,
"Frederick","44535",,


"Judge of the Circuit Court - Vote For No More Than Five - Judicial Circuit: 06",,
"","James Chris Chapin (Both Parties) Winner","Martha G. Kavanaugh (Both Parties) Winner","Michael D. Mason (Both Parties) Winner","Louise G. Scrivener (Both Parties) Winner","Durke G. Thompson (Both Parties) Winner",,
"Montgomery","179735","193123","177296","184300","174740",,


"Judge of the Circuit Court - Vote For No More Than Five - Judicial Circuit: 07",,
"","Marjorie L. Clagett (Both Parties) Winner",,
"Calvert","16514",,


"Judge of the Circuit Court - Vote For No More Than Five - Judicial Circuit: 07",,
"","Steven George Chappelle (Both Parties) Winner","Richard John Clark (Both Parties) Winner",,
"Charles","16315","23537",,


"Judge of the Circuit Court - Vote For No More Than Five - Judicial Circuit: 07",,
"","Michele D. Hotten (Both Parties) Winner","Sherrie L. Krauser (Both Parties) Winner","Audrey E. Melbourne (Both Parties) Winner","E. Allen Shepherd (Both Parties) Winner","Thomas P. Smith (Both Parties) Winner",,
"Prince George`s","113570","108498","118307","108347","105916",,


"Judge of the Circuit Court - Vote For No More Than Four - Judicial Circuit: 08",,
"","Bonita J. Dancy (Both Parties) Winner","Albert J. Matricciani Jr. (Both Parties) Winner","Gary I. Strausberg (Both Parties) Winner","David W. Young (Both Parties) Winner",,
"Baltimore City","60951","56058","56951","69210",,


"Judge, Court of Appeals - Appellate Circuit: 07",,
"","Irma S. Raker (Both Parties)",,
"","Yes Winner","No",,
"Montgomery","210615","31,474",,


"Judge, Court of Special Appeals At Large",,
"","Ellen L. Hollander (Both Parties)",,
"","Yes Winner","No",,
"Allegany","9752","2,871",,
"Anne Arundel","108680","18,453",,
"Baltimore City","82667","12,089",,
"Baltimore ","161385","25,664",,
"Calvert","12224","1,738",,
"Caroline","2325","560",,
"Carroll","32467","5,425",,
"Cecil","14279","2,188",,
"Charles","19720","2,799",,
"Dorchester","3156","779",,
"Frederick","41527","5,760",,
"Garrett","4978","1,257",,
"Harford","50550","10,294",,
"Howard","63341","10,245",,
"Kent","3809","549",,
"Montgomery","210289","28,755",,
"Prince George`s","111492","20,404",,
"Queen Anne`s","8351","1,403",,
"St. Mary`s","11728","2,459",,
"Somerset","2119","482",,
"Talbot","7302","1,045",,
"Washington","22749","3,807",,
"Wicomico","16645","2,474",,
"Worcester","10224","1,488",,


"Judge, Court of Special Appeals - Appellate Circuit: 02",,
"","James R. Eyler (Both Parties)",,
"","Yes Winner","No",,
"Baltimore ","143162","29,118",,
"Harford","48690","10,998",,


"Judge, Court of Special Appeals - Appellate Circuit: 03",,
"","William W. Wenner (Both Parties)",,
"","Yes Winner","No",,
"Allegany","8947","3,031",,
"Carroll","29974","5,948",,
"Frederick","43521","6,289",,
"Garrett","4564","1,275",,
"Howard","59663","11,752",,
"Washington","21598","4,006",,


"Judge, Court of Special Appeals - Appellate Circuit: 04",,
"","James Patrick Salmon (Both Parties)",,
"","Yes Winner","No",,
"Prince George`s","103507","24,350",,
