

"President and Vice President of the United States - (Vote for One Pair) - ",,
"","Al Gore/Joe Lieberman   (Democratic) Winner","George W. Bush/Dick Cheney   (Republican)","Harry Browne/Art Olivier   (Libertarian)","Pat Buchanan/Ezola Foster   (Reform)","Ralph Nader/Winona LaDuke   (Green)","Howard Phillips/J. Curtis Frazier   (Constitution)","Mike K. Brown (Democratic)","Isabell Masters (Republican)","John Hagelin (Other Candidates)","Alonzo Crawford (Unaffiliated)","Earnest Lee Easton (Unaffiliated)","Forrest C. LaBelle/Tim Locke   (Unaffiliated)","Rachelle OneFamily Miller (Unaffiliated)","Raj Alison Officewala (Unaffiliated)","Daniel J. Pearlman (Unaffiliated)","Jeffrey Peters (Unaffiliated)","Sylvester J. Pettway (Unaffiliated)","Joe Schriner (Unaffiliated)","Michael F. Sterba (Unaffiliated)","Gloria Dawn Strickland (Unaffiliated)","Other Write-ins",,
"Allegany ","10894","14656","81","99","610","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15",,
"Anne Arundel ","89624","104209","601","426","5493","106","0","0","23","0","0","0","0","0","0","0","0","0","0","1","174",,
"Baltimore City","158765","27150","408","335","5512","83","0","0","16","1","0","0","0","0","0","0","0","0","0","0","134",,
"Baltimore ","160635","133033","834","689","8544","122","0","0","15","0","0","0","0","0","0","0","0","0","0","0","212",,
"Calvert ","12986","16004","69","65","660","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",,
"Caroline ","3396","5300","20","31","198","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","4",,
"Carroll ","20146","41742","209","154","1681","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52",,
"Cecil ","12327","15494","136","81","794","31","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12",,
"Charles ","21873","21768","74","77","755","12","0","0","2","0","0","0","0","0","0","0","0","0","0","0","31",,
"Dorchester ","5232","5847","47","35","222","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
"Frederick ","30725","45350","224","182","2052","47","0","0","8","0","0","0","0","1","0","0","0","0","0","0","72",,
"Garrett ","2872","7514","27","27","203","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5",,
"Harford ","35665","52862","254","214","2298","54","0","0","9","0","0","0","0","0","0","0","0","0","0","0","68",,
"Howard ","58556","49809","398","197","3643","37","1","0","12","0","0","0","0","0","0","0","0","0","0","0","126",,
"Kent ","3627","4155","12","16","270","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3",,
"Montgomery ","232453","124580","995","593","12485","115","0","0","76","1","1","1","2","2","1","1","0","1","0","0","381",,
"Prince George's ","216119","49987","564","519","4497","145","0","0","7","0","0","0","0","0","0","1","0","2","0","0","68",,
"Queen Anne's ","6257","9970","36","35","446","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","10",,
"Somerset ","3785","3609","12","49","142","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",,
"St. Mary's ","11912","16856","68","66","568","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",,
"Talbot ","5854","8874","34","31","424","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",,
"Washington ","18221","27948","105","117","1027","21","0","0","5","0","0","0","0","0","0","0","0","0","0","0","26",,
"Wicomico ","14469","16338","63","134","762","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16",,
"Worcester ","9389","10742","39","76","482","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16",,


"President and Vice President of the United States - (Vote for One Pair) - Congressional District: 01",,
"","Al Gore/Joe Lieberman   (Democratic)","George W. Bush/Dick Cheney   (Republican) Winner","Harry Browne/Art Olivier   (Libertarian)","Pat Buchanan/Ezola Foster   (Reform)","Ralph Nader/Winona LaDuke   (Green)","Howard Phillips/J. Curtis Frazier   (Constitution)","Mike K. Brown (Democratic)","Isabell Masters (Republican)","John Hagelin (Other Candidates)","Alonzo Crawford (Unaffiliated)","Earnest Lee Easton (Unaffiliated)","Forrest C. LaBelle/Tim Locke   (Unaffiliated)","Rachelle OneFamily Miller (Unaffiliated)","Raj Alison Officewala (Unaffiliated)","Daniel J. Pearlman (Unaffiliated)","Jeffrey Peters (Unaffiliated)","Sylvester J. Pettway (Unaffiliated)","Joe Schriner (Unaffiliated)","Michael F. Sterba (Unaffiliated)","Gloria Dawn Strickland (Unaffiliated)","Other Write-ins",,
"Anne Arundel ","52164","59265","344","235","3283","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128",,
"Baltimore City","1320","623","14","13","58","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
"Caroline ","3396","5300","20","31","198","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","4",,
"Cecil ","12327","15494","136","81","794","31","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12",,
"Dorchester ","5232","5847","47","35","222","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
"Kent ","3627","4155","12","16","270","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3",,
"Queen Anne's ","6257","9970","36","35","446","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","10",,
"Somerset ","3785","3609","12","49","142","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",,
"Talbot ","5854","8874","34","31","424","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",,
"Wicomico ","14469","16338","63","134","762","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16",,
"Worcester ","9389","10742","39","76","482","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16",,


"President and Vice President of the United States - (Vote for One Pair) - Congressional District: 02",,
"","Al Gore/Joe Lieberman   (Democratic)","George W. Bush/Dick Cheney   (Republican) Winner","Harry Browne/Art Olivier   (Libertarian)","Pat Buchanan/Ezola Foster   (Reform)","Ralph Nader/Winona LaDuke   (Green)","Howard Phillips/J. Curtis Frazier   (Constitution)","Mike K. Brown (Democratic)","Isabell Masters (Republican)","John Hagelin (Other Candidates)","Alonzo Crawford (Unaffiliated)","Earnest Lee Easton (Unaffiliated)","Forrest C. LaBelle/Tim Locke   (Unaffiliated)","Rachelle OneFamily Miller (Unaffiliated)","Raj Alison Officewala (Unaffiliated)","Daniel J. Pearlman (Unaffiliated)","Jeffrey Peters (Unaffiliated)","Sylvester J. Pettway (Unaffiliated)","Joe Schriner (Unaffiliated)","Michael F. Sterba (Unaffiliated)","Gloria Dawn Strickland (Unaffiliated)","Other Write-ins",,
"Anne Arundel ","8287","13092","58","44","608","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10",,
"Baltimore ","67675","83008","432","399","4818","54","0","0","7","0","0","0","0","0","0","0","0","0","0","0","104",,
"Harford ","35665","52862","254","214","2298","54","0","0","9","0","0","0","0","0","0","0","0","0","0","0","68",,


"President and Vice President of the United States - (Vote for One Pair) - Congressional District: 03",,
"","Al Gore/Joe Lieberman   (Democratic) Winner","George W. Bush/Dick Cheney   (Republican)","Harry Browne/Art Olivier   (Libertarian)","Pat Buchanan/Ezola Foster   (Reform)","Ralph Nader/Winona LaDuke   (Green)","Howard Phillips/J. Curtis Frazier   (Constitution)","Mike K. Brown (Democratic)","Isabell Masters (Republican)","John Hagelin (Other Candidates)","Alonzo Crawford (Unaffiliated)","Earnest Lee Easton (Unaffiliated)","Forrest C. LaBelle/Tim Locke   (Unaffiliated)","Rachelle OneFamily Miller (Unaffiliated)","Raj Alison Officewala (Unaffiliated)","Daniel J. Pearlman (Unaffiliated)","Jeffrey Peters (Unaffiliated)","Sylvester J. Pettway (Unaffiliated)","Joe Schriner (Unaffiliated)","Michael F. Sterba (Unaffiliated)","Gloria Dawn Strickland (Unaffiliated)","Other Write-ins",,
"Anne Arundel ","10904","9773","62","59","478","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18",,
"Baltimore City","52271","19557","229","176","2957","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
"Baltimore ","57269","33780","261","168","2313","36","3","0","4","0","0","0","0","0","0","0","0","0","0","0","70",,
"Howard ","29200","17140","187","75","1628","20","1","0","7","0","0","0","0","0","0","0","0","0","0","0","51",,


"President and Vice President of the United States - (Vote for One Pair) - Congressional District: 04",,
"","Al Gore/Joe Lieberman   (Democratic) Winner","George W. Bush/Dick Cheney   (Republican)","Harry Browne/Art Olivier   (Libertarian)","Pat Buchanan/Ezola Foster   (Reform)","Ralph Nader/Winona LaDuke   (Green)","Howard Phillips/J. Curtis Frazier   (Constitution)","Mike K. Brown (Democratic)","Isabell Masters (Republican)","John Hagelin (Other Candidates)","Alonzo Crawford (Unaffiliated)","Earnest Lee Easton (Unaffiliated)","Forrest C. LaBelle/Tim Locke   (Unaffiliated)","Rachelle OneFamily Miller (Unaffiliated)","Raj Alison Officewala (Unaffiliated)","Daniel J. Pearlman (Unaffiliated)","Jeffrey Peters (Unaffiliated)","Sylvester J. Pettway (Unaffiliated)","Joe Schriner (Unaffiliated)","Michael F. Sterba (Unaffiliated)","Gloria Dawn Strickland (Unaffiliated)","Other Write-ins",,
"Montgomery ","48783","14224","165","97","3033","14","0","0","15","1","0","0","0","0","0","0","0","0","0","0","73",,
"Prince George's ","131856","14184","166","211","1347","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,


"President and Vice President of the United States - (Vote for One Pair) - Congressional District: 05",,
"","Al Gore/Joe Lieberman   (Democratic) Winner","George W. Bush/Dick Cheney   (Republican)","Harry Browne/Art Olivier   (Libertarian)","Pat Buchanan/Ezola Foster   (Reform)","Ralph Nader/Winona LaDuke   (Green)","Howard Phillips/J. Curtis Frazier   (Constitution)","Mike K. Brown (Democratic)","Isabell Masters (Republican)","John Hagelin (Other Candidates)","Alonzo Crawford (Unaffiliated)","Earnest Lee Easton (Unaffiliated)","Forrest C. LaBelle/Tim Locke   (Unaffiliated)","Rachelle OneFamily Miller (Unaffiliated)","Raj Alison Officewala (Unaffiliated)","Daniel J. Pearlman (Unaffiliated)","Jeffrey Peters (Unaffiliated)","Sylvester J. Pettway (Unaffiliated)","Joe Schriner (Unaffiliated)","Michael F. Sterba (Unaffiliated)","Gloria Dawn Strickland (Unaffiliated)","Other Write-ins",,
"Anne Arundel ","18269","22079","137","88","1124","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42",,
"Calvert ","12986","16004","69","65","660","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",,
"Charles ","21873","21768","74","77","755","12","0","0","2","0","0","0","0","0","0","0","0","0","0","0","31",,
"Prince George's ","84263","35803","398","308","3150","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
"St. Mary's ","11912","16856","68","66","568","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",,


"President and Vice President of the United States - (Vote for One Pair) - Congressional District: 06",,
"","Al Gore/Joe Lieberman   (Democratic)","George W. Bush/Dick Cheney   (Republican) Winner","Harry Browne/Art Olivier   (Libertarian)","Pat Buchanan/Ezola Foster   (Reform)","Ralph Nader/Winona LaDuke   (Green)","Howard Phillips/J. Curtis Frazier   (Constitution)","Mike K. Brown (Democratic)","Isabell Masters (Republican)","John Hagelin (Other Candidates)","Alonzo Crawford (Unaffiliated)","Earnest Lee Easton (Unaffiliated)","Forrest C. LaBelle/Tim Locke   (Unaffiliated)","Rachelle OneFamily Miller (Unaffiliated)","Raj Alison Officewala (Unaffiliated)","Daniel J. Pearlman (Unaffiliated)","Jeffrey Peters (Unaffiliated)","Sylvester J. Pettway (Unaffiliated)","Joe Schriner (Unaffiliated)","Michael F. Sterba (Unaffiliated)","Gloria Dawn Strickland (Unaffiliated)","Other Write-ins",,
